tt0039774,La revanche de Baccarat,1948,N/A,Jacques de Baroncelli,"Pierre Brasseur, Sophie Desmarets, Lucien Nat, Robert Arnoux"
tt0070109,Giordano Bruno,1973,"Biography, Drama",Giuliano Montaldo,"Gian Maria Volonté, Hans Christian Blech, Mathieu Carrière, Renato Scarpa"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0828406,Ken Adam's Production Films: Moonraker,2006,"Documentary, Short",John Cork,"Ken Adam, Letitzia Adam, Charles Bishop, Emily Bolton"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt0828406,Ken Adam's Production Films: Moonraker,2006,"Documentary, Short",John Cork,"Ken Adam, Letitzia Adam, Charles Bishop, Emily Bolton"
tt0057076,From Russia with Love,1963,"Action, Adventure, Thriller",Terence Young,"Sean Connery, Daniela Bianchi, Pedro Armendáriz, Lotte Lenya"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt0069995,Don't Look Now,1973,"Drama, Horror, Thriller",Nicolas Roeg,"Julie Christie, Donald Sutherland, Hilary Mason, Clelia Matania"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0924399,007 in Rio,1979,"Documentary, Short",Michel Parbot,"Roger Moore, Albert R. Broccoli, Lois Chiles, Lewis Gilbert"
tt0083390,Brideshead Revisited,1981,"Drama, Romance",N/A,"Jeremy Irons, Diana Quick, Roger Milner, Phoebe Nicholls"
tt1512851,Maometto secondo,2005,"Drama, Musical",Tiziano Mancini,"Lorenzo Regazzo, Federico Lepre, Maxim Mironov, Carmen Giannattasio"
tt0435475,La traviata,2004,"Music, Drama",Patrizia Carmine,"Patrizia Ciofi, Roberto Saccà, Dmitri Hvorostovsky, Eufemia Tufano"
tt0047469,Senso,1954,"Drama, History, Romance",Luchino Visconti,"Alida Valli, Farley Granger, Heinz Moog, Rina Morelli"
tt0065408,The Anonymous Venetian,1970,"Drama, Romance",Enrico Maria Salerno,"Tony Musante, Florinda Bolkan, Toti Dal Monte, Sandro Grinfan"
tt0040605,The Glass Mountain,1949,Drama,Henry Cass,"Michael Denison, Dulcie Gray, Valentina Cortese, Sebastian Shaw"
tt0067445,Death in Venice,1971,Drama,Luchino Visconti,"Dirk Bogarde, Romolo Valli, Mark Burns, Nora Ricci"
tt1726069,Rigoletto,2010,"Drama, Musical",George Blume,"Eric Cutler, Roberto Frontali, Désirée Rancatore, Marco Spotti"
tt0868146,The Girls Next Door,2006,"Comedy, Reality-TV, Romance",N/A,"Holly Madison, Bridget Marquardt, Kendra Wilkinson, Hugh M. Hefner"
tt0636811,"Venetian Love Song/Down for the Count/Arrividerci, Gopher/The Arrangement: Part 2",1982,"Comedy, Romance",Richard Kinon,"Gavin MacLeod, Bernie Kopell, Fred Grandy, Ted Lange"
tt1048395,Episode #1.3212,2000,"Drama, Romance","Susan Flannery, Michael Stich","Victor Alfieri, Andrea Evans, Adrienne Frantz, Katherine Kelly Lang"
tt0382019,Eternal,2004,"Horror, Mystery, Thriller","Wilhelm Liebenberg, Federico Sanchez","Conrad Pla, Caroline Néron, Victoria Sanchez, Sarah Manninen"
tt0069808,Blume in Love,1973,"Comedy, Drama, Romance",Paul Mazursky,"George Segal, Susan Anspach, Kris Kristofferson, Marsha Mason"
tt0366904,Pink Floyd in Venice,1989,"Documentary, Music","Egbert van Hees, Wayne Isham","David Gilmour, Richard Wright, Nick Mason, Jon Carin"
tt1182972,Bachna Ae Haseeno,2008,"Comedy, Drama, Romance",Siddharth Anand,"Ranbir Kapoor, Bipasha Basu, Minissha Lamba, Deepika Padukone"
tt0317740,The Italian Job,2003,"Action, Crime, Thriller",F. Gary Gray,"Mark Wahlberg, Charlize Theron, Donald Sutherland, Jason Statham"
tt1427333,Very Important Pennis: Part 1,1996,Comedy,N/A,"Paul Kaye, Kris Akabusi, Giorgio Armani, Baz Bamigboye"
tt2525558,An Idiot Abroad,2012,"Documentary, Comedy, Reality-TV",Richard Yee,"Karl Pilkington, Warwick Davis, Ricky Gervais"
tt0828406,Ken Adam's Production Films: Moonraker,2006,"Documentary, Short",John Cork,"Ken Adam, Letitzia Adam, Charles Bishop, Emily Bolton"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt0229384,"Feeding Pigeons in Front of St. Mark's Cathedral, Venice, Italy",1903,"Documentary, Short",N/A,N/A
tt0305711,Just Married,2003,"Comedy, Romance",Shawn Levy,"Ashton Kutcher, Brittany Murphy, Christian Kane, David Moscow"
tt3358834,Place Saint Marc,1905,"Documentary, Short",N/A,N/A
tt1512586,Coach Trip,2005,Reality-TV,Matt Walton,"Andy Love, Brendan Sheerin"
tt2614678,St. Mark's from the Grand Canal,1901,"Documentary, Short",N/A,N/A
tt0069995,Don't Look Now,1973,"Drama, Horror, Thriller",Nicolas Roeg,"Julie Christie, Donald Sutherland, Hilary Mason, Clelia Matania"
tt1056688,Episode #1.3221,2000,"Drama, Romance",N/A,"Victor Alfieri, Darlene Conley, Adrienne Frantz, Daniel McVicar"
tt4341936,Broadway Kept,2017,Thriller,Pierre Perea,"John Emil D'Angelo, Clarissa Corinne, Nick Conti, Emma Elliott"
tt0120520,The Wings of the Dove,1997,"Drama, Romance",Iain Softley,"Helena Bonham Carter, Linus Roache, Alex Jennings, Charlotte Rampling"
tt0067445,Death in Venice,1971,Drama,Luchino Visconti,"Dirk Bogarde, Romolo Valli, Mark Burns, Nora Ricci"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0048673,Summertime,1955,"Romance, Drama",David Lean,"Katharine Hepburn, Rossano Brazzi, Isa Miranda, Darren McGavin"
tt4346304,Psychos DFLLL,2010,Documentary,Malga Kubiak,"Cecil, Maryse Dinsart, Douz, Bruce Geduldig"
tt0045251,Othello,1952,"Drama, Romance",Orson Welles,"Orson Welles, Micheál MacLiammóir, Robert Coote, Suzanne Cloutier"
tt0472521,Magic Mirror,2005,"Drama, Music",Manoel de Oliveira,"Leonor Silveira, Ricardo Trêpa, Luís Miguel Cintra, Leonor Baldaque"
tt2545884,Panorama of St. Mark's Square,1901,"Documentary, Short",N/A,N/A
tt0402177,Feeding Pigeons in the Streets of Venice,1903,"Documentary, Short",N/A,N/A
tt3113374,Alex in the Afternoons,2014,"Crime, Thriller",Markus Innocenti,"John Rhys-Davies, Hannah Cowley, Kirsten Lea"
tt0116242,Everyone Says I Love You,1996,"Comedy, Musical, Romance",Woody Allen,"Edward Norton, Drew Barrymore, Diva Gray, Ami Almendral"
tt0317009,Pope John XXIII,2002,"Biography, Drama",Giorgio Capitani,"Edward Asner, Massimo Ghini, Claude Rich, Michael Mendl"
